latitude,longitude,cluster
37.78476,-122.40072,2
37.78474,-122.4007,2
37.78613,-122.39916,2
37.78674,-122.40004,2
37.78747,-122.40109,2
37.78825,-122.40244,2
37.78953,-122.40218,2
37.7899,-122.40217,2
37.79097,-122.40239,2
37.79249,-122.40328,2
37.79244,-122.40595,2
37.79204,-122.41039,2
37.79175,-122.41068,2
37.79175,-122.41068,2
37.7922,-122.40773,2
37.79049,-122.40761,2
37.78882,-122.40821,2
37.78662,-122.40792,2
37.78651,-122.40874,2
37.7865,-122.40878,2
37.78625,-122.41077,2
37.78624,-122.41077,2
37.7866,-122.411,2
37.78572,-122.41009,2
37.78544,-122.40917,2
37.78423,-122.408,2
37.78278,-122.4064,2
37.78142,-122.4047,2
37.77873,-122.40146,2
37.77684,-122.39853,2
