latitude,longitude,time
43.45772,1.57195,1265835251.0
43.45793,1.57166,1265835310.0
43.45862,1.57178,1265835369.0
43.45819,1.57183,1265835426.0
43.45819,1.5716,1265835486.0
43.45808,1.57164,1265835546.0
43.45841,1.57173,1265835606.0
43.45845,1.57168,1265835665.0
43.45834,1.57169,1265835724.0
43.45842,1.57169,1265835784.0
43.45885,1.57232,1265835843.0
43.4587,1.57198,1265835903.0
43.45833,1.57152,1265835963.0
43.45836,1.57217,1265836022.0
43.45834,1.57175,1265836082.0
43.45851,1.57187,1265836142.0
43.45843,1.57176,1265836202.0
43.45829,1.5717,1265836262.0
43.45852,1.5717,1265836321.0
43.45863,1.57158,1265836381.0
43.45858,1.57163,1265836440.0
43.45818,1.57205,1265836500.0
43.45832,1.57187,1265836559.0
43.4584,1.57173,1265836619.0
43.45829,1.57165,1265836678.0
43.4584,1.57171,1265836738.0
43.45842,1.57193,1265836797.0
43.45836,1.57164,1265836857.0
43.45838,1.57188,1265836917.0
43.45857,1.57181,1265836976.0
43.45845,1.57209,1265837036.0
43.4585,1.57201,1265837095.0
43.45841,1.57208,1265837285.0
43.45845,1.57155,1265837344.0
43.45843,1.57193,1265837522.0
43.45826,1.57193,1265837641.0
43.45839,1.57167,1265837701.0
43.45844,1.57185,1265837761.0
43.45832,1.57146,1265837941.0
43.45848,1.5718,1265838001.0
43.45855,1.57197,1265838061.0
43.45855,1.5722,1265838121.0
43.45858,1.57196,1265838181.0
43.45815,1.57124,1265838481.0
43.45844,1.57182,1265838601.0
43.45841,1.57145,1265838661.0
43.45845,1.57166,1265838721.0
43.45842,1.57171,1265838781.0
43.45842,1.57179,1265838841.0
43.45824,1.57131,1265838901.0
43.45836,1.5716,1265839086.0
43.45824,1.57178,1265839146.0
43.45823,1.5715,1265839206.0
43.4582,1.57151,1265839266.0
43.45821,1.57139,1265839386.0
43.45834,1.57169,1265839446.0
43.45839,1.57158,1265839566.0
43.45814,1.57172,1265839626.0
43.45834,1.57165,1265839686.0
43.45847,1.57186,1265839746.0
43.45858,1.57211,1265839806.0
43.45842,1.57195,1265839866.0
43.45827,1.57161,1265839926.0
43.45822,1.57167,1265839986.0
43.45838,1.57179,1265840046.0
43.45833,1.57172,1265840106.0
43.45844,1.57177,1265840166.0
43.45842,1.5718,1265840226.0
43.45824,1.5717,1265840287.0
43.4585,1.5717,1265840646.0
43.45851,1.57126,1265840706.0
43.4582,1.57158,1265840766.0
43.45838,1.57171,1265840826.0
43.45853,1.57196,1265840886.0
43.45846,1.57173,1265841186.0
43.45846,1.57181,1265841246.0
43.45845,1.57154,1265841306.0
43.45854,1.57163,1265841366.0
43.45864,1.57161,1265841426.0
43.45849,1.57169,1265841486.0
43.45842,1.57159,1265841546.0
43.45845,1.57142,1265841666.0
43.45844,1.57182,1265841726.0
43.45842,1.57167,1265841786.0
43.45819,1.57184,1265841846.0
43.45848,1.57174,1265841906.0
43.45846,1.57153,1265841966.0
43.45837,1.57123,1265842026.0
43.45831,1.57182,1265842146.0
43.4582,1.57161,1265842206.0
43.45829,1.5713,1265842267.0
43.45827,1.57129,1265842326.0
43.45802,1.57161,1265842446.0
43.45826,1.57184,1265842866.0
43.45837,1.57211,1265842926.0
43.45843,1.57198,1265843046.0
43.45854,1.57233,1265843166.0
43.45862,1.57201,1265843286.0
43.45794,1.57191,1265843406.0
43.45838,1.5718,1265843586.0
43.45831,1.57161,1265843646.0
43.4583,1.57166,1265843706.0
43.45839,1.57154,1265843766.0
43.45842,1.57164,1265843826.0
43.45837,1.57157,1265843886.0
43.45833,1.57153,1265843946.0
43.4584,1.57158,1265844006.0
43.45844,1.57167,1265844066.0
43.45846,1.57179,1265844126.0
43.4584,1.57171,1265844186.0
43.45831,1.57172,1265844246.0
43.45841,1.57178,1265844306.0
43.45843,1.57186,1265844366.0
43.45839,1.5718,1265844426.0
43.45838,1.57189,1265844486.0
43.45836,1.57186,1265844546.0
43.45839,1.57182,1265844606.0
43.45855,1.57179,1265844666.0
43.45852,1.5717,1265844726.0
43.45849,1.57173,1265844786.0
43.45836,1.57155,1265844846.0
43.45845,1.57165,1265844906.0
43.45839,1.5717,1265844966.0
43.45831,1.57159,1265845026.0
43.45824,1.57167,1265845086.0
43.45842,1.57156,1265845146.0
43.4584,1.57172,1265845206.0
