latitude,longitude,cluster
37.69808,-122.4832,2
37.6974,-122.48925,2
37.69272,-122.49104,2
37.6888,-122.48758,2
37.70519,-122.47099,1
37.70948,-122.4678,1
37.71352,-122.45222,1
37.72608,-122.44624,1
37.73229,-122.432,1
37.73224,-122.41523,1
37.73874,-122.40083,1
37.74616,-122.39439,1
37.74955,-122.39278,1
37.50835,-122.25002,6
37.75129,-122.39437,3
37.75161,-122.39501,3
37.75132,-122.39523,3
37.75141,-122.39521,3
37.75144,-122.39519,3
37.7515,-122.39522,3
37.75163,-122.39528,3
37.75163,-122.39529,3
37.75156,-122.39527,3
37.75156,-122.39524,3
37.75162,-122.39524,3
37.75162,-122.39523,3
37.75138,-122.39449,3
37.7501,-122.39266,3
37.75624,-122.39251,3
37.76092,-122.39262,3
37.77138,-122.39815,3
37.77645,-122.40305,3
37.7788,-122.40603,3
37.78272,-122.40343,3
37.78518,-122.40033,3
37.7878,-122.39701,3
37.79061,-122.39531,3
37.79224,-122.39782,3
37.79198,-122.39845,3
37.79216,-122.39852,3
37.79768,-122.39074,3
37.79219,-122.39867,3
37.79473,-122.39697,3
37.79491,-122.39809,3
37.79417,-122.40081,3
37.7944,-122.39873,3
37.79428,-122.39673,3
37.79157,-122.39542,3
37.79174,-122.39214,3
37.79288,-122.39395,3
37.79324,-122.39493,3
37.79264,-122.3973,3
37.79275,-122.39776,3
37.79279,-122.39773,3
37.79282,-122.39769,3
37.7928,-122.39776,3
37.79276,-122.39791,3
37.79286,-122.3977,3
37.79282,-122.39765,3
37.79281,-122.39763,3
37.79291,-122.39765,3
37.79288,-122.39769,3
37.79284,-122.39772,3
37.79288,-122.39766,3
37.79287,-122.39764,3
37.79299,-122.39757,3
37.79299,-122.39757,3
37.79297,-122.39753,3
37.79299,-122.39769,3
37.79293,-122.3977,3
37.79306,-122.39758,3
37.79319,-122.39769,3
37.7931,-122.39744,3
37.79309,-122.39743,3
37.79323,-122.39725,3
37.79318,-122.39729,3
37.79309,-122.39747,3
37.79308,-122.39748,3
37.79316,-122.39757,3
37.79316,-122.39754,3
37.79302,-122.39753,3
37.79285,-122.39753,3
37.79287,-122.39754,3
37.79279,-122.39768,3
37.79276,-122.39763,3
37.79263,-122.3974,3
37.79259,-122.39752,3
37.7926,-122.39742,3
37.79282,-122.39703,3
37.791,-122.39716,3
37.7934,-122.39713,3
37.79342,-122.39714,3
37.79311,-122.39725,3
37.79164,-122.39809,3
37.7931,-122.39726,3
37.79332,-122.3976,3
37.79405,-122.3975,3
37.79466,-122.39811,3
37.79288,-122.40208,3
37.79422,-122.39798,3
37.79358,-122.39626,3
37.79312,-122.3933,3
37.7931,-122.39442,3
37.79329,-122.39482,3
37.79325,-122.39525,3
37.79409,-122.39687,3
37.79328,-122.39877,3
37.79511,-122.4003,3
37.79885,-122.40113,3
37.80261,-122.40184,3
37.80445,-122.4027,3
37.80733,-122.40768,3
37.80696,-122.41346,3
37.80603,-122.41783,3
37.80763,-122.42031,3
37.80676,-122.42053,3
37.80757,-122.42066,3
37.80828,-122.41543,3
37.80854,-122.41348,3
37.80797,-122.40902,3
37.80671,-122.41344,3
37.80569,-122.42026,3
37.80476,-122.42009,3
37.80475,-122.42009,3
37.80432,-122.42346,3
37.80127,-122.42481,3
37.79985,-122.4359,3
37.79875,-122.44411,3
37.79873,-122.44413,3
37.79822,-122.44802,3
37.79643,-122.45182,3
37.79366,-122.45028,3
37.79367,-122.45037,3
37.79366,-122.45036,3
37.79501,-122.45185,3
37.79493,-122.44963,3
37.79047,-122.4474,3
37.78735,-122.44534,3
37.78702,-122.44176,3
37.78311,-122.4394,3
37.77872,-122.43849,3
37.77628,-122.43805,3
37.77439,-122.43518,3
37.77533,-122.42783,3
37.77519,-122.42416,3
37.77164,-122.42315,3
37.76943,-122.41037,3
37.7601,-122.40625,3
37.73271,-122.40518,3
37.72002,-122.39979,3
37.70721,-122.39462,3
37.6939,-122.39162,3
37.68068,-122.38867,3
37.66787,-122.39454,3
37.65774,-122.4057,3
